序号,城市,区县,乡/镇,乡/镇人口,村名,【村组基本信息】,,,,,,物资需求,,,,,,,,信息渠道,信息要点,备注,信息汇总人,信息更新时间
442,,,,,碧水社区,,,,,,,,,,,,,,,,,,,
443,,,,,南通村,,,,,,,,,,,,,,,,,,,
444,,,,,灵通村,,,,,,,,,,,,,,,,,,,
445,,,,,始通村,,,,,,,,,,,,,,,,,,,
446,,,,,上东村,,,,,,,,,,,,,,,,,,,
447,,,,,下东村,,,,,,,,,,,,,,,,,,,
448,,,,,凹坑村,,,,,,,,,,,,,,,,,,,
449,,,,,汾水村,,,,,,,,,,,,,,,,,,,
450,,,,,长居村,,,,,,,,,,,,,,,,,,,
451,,,,,文溪村,,,,,,,,,,,,,,,,,,,
452,,,,,金桥村,,,,,,,,,,,,,,,,,,,
453,,,,,载文村,,,,,,,,,,,,,,,,,,,
454,,,,,东岗村,,,,,,,,,,,,,,,,,,,
455,,,,,东云村,,,,,,,,,,,,,,,,,,,
456,,,,,园丁村,,,,,,,,,,,,,,,,,,,
457,,,,,尧禄村,,,,,,,,,,,,,,,,,,,
458,,,,,云寨村,,,,,,,,,,,,,,,,,,,
459,,,东留镇,22138,大明村,,,,,,,,,,,,,,,,,,,
460,,,,,桂坑村,,,,,,,,,,,,,,,,,,,
461,,,,,兰畲村,,,,,,,,,,,,,,,,,,,
462,,,,,背寨村,,,,,,,,,,,,,,,,,,,
463,,,,,龙溪村,,,,,,,,,,,,,,,,,,,
464,,,,,中坊村,,,,,,,,,,,,,,,,,,,
465,,,,,大联村,,,,,,,,,,,,,,,,,,,
466,,,,,永福村,,,,,,,,,,,,,,,,,,,
467,,,,,新中村,,,,,,,,,,,,,,,,,,,
468,,,,,小溪村,,,,,,,,,,,,,,,,,,,
469,,,,,苏湖村,,,,,,,,,,,,,,,,,,,
470,,,,,黄坊村,,,,,,,,,,,,,,,,,,,
471,,,,,封侯村,,,,,,,,,,,,,,,,,,,
472,,,,,新联村,,,,,,,,,,,,,,,,,,,
473,,,,,新福村,,,,,,,,,,,,,,,,,,,
474,,,,,大阳村,,,,,,,,,,,,,,,,,,,
475,,,,,南坊村,,,,,,,,,,,,,,,,,,,
476,,,,,泥洋村,,,,,,,,,,,,,,,,,,,
477,,,武东镇,29665,陈埔村,,,,,,,,,,,,,,,,,,,
478,,,,,安丰村,,,,,,,,,,,,,,,,,,,
479,,,,,丰田村,,,,,,,,,,,,,,,,,,,
480,,,,,五坊村,,,,,,,,,,,,,,,,,,,
481,,,,,川坊村,,,,,,,,,,,,,,,,,,,
482,,,,,三峙村,,,,,,,,,,,,,,,,,,,
483,,,,,炉坑村,,,,,,,,,,,,,,,,,,,
484,,,,,袁田村,,,,,,,,,,,,,,,,,,,
485,,,,,上畲村,,,,,,,,,,,,,,,,,,,
486,,,,,远明村,,,,,,,,,,,,,,,,,,,
487,,,,,四维村,,,,,,,,,,,,,,,,,,,
488,,,,,黄埔村,,,,,,,,,,,,,,,,,,,
489,,,,,东兴村,,,,,,,,,,,,,,,,,,,
490,,,,,张畲村,,,,,,,,,,,,,,,,,,,
491,,,,,美和村,,,,,,,,,,,,,,,,,,,
492,,,,,六甲村,,,,,,,,,,,,,,,,,,,
493,,,,,新东村,,,,,,,,,,,,,,,,,,,
494,,,,,教文村,,,,,,,,,,,,,,,,,,,
495,,,,,袁上村,,,,,,,,,,,,,,,,,,,
496,,,,,袁下村,,,,,,,,,,,,,,,,,,,
497,,,万安镇,12494,五里村,,,,,,,,,,,,,,,,,,,
498,,,,,下镇村,,,,,,,,,,,,,,,,,,,
499,,,,,上镇村,,,,,,,,,,,,,,,,,,,
500,,,,,贤溪村,,,,,,,,,,,,,,,,,,,
501,,,,,捷文村,,,,,,,,,,,,,,,,,,,
502,,,,,小密村,,,,,,,,,,,,,,,,,,,
503,,,永平镇,21648,帽村村,,,,,,,,,,,,,,,,,,,
504,,,,,昭信村,,,,,,,,,,,,,,,,,,,
505,,,,,龙归礤村,,,,,,,,,,,,,,,,,,,
506,,,,,唐屋村,,,,,,,,,,,,,,,,,,,
507,,,,,恬下村,,,,,,,,,,,,,,,,,,,
508,,,,,钩坑村,,,,,,,,,,,,,,,,,,,
509,,,,,瑞湖村,,,,,,,,,,,,,,,,,,,
510,,,,,中湍村,,,,,,,,,,,,,,,,,,,
511,,,,,杭背村,,,,,,,,,,,,,,,,,,,
512,,,,,岗背村,,,,,,,,,,,,,,,,,,,
513,,,,,田背村,,,,,,,,,,,,,,,,,,,
514,,,,,梁山村,,,,,,,,,,,,,,,,,,,
515,,,,,孔下村,,,,,,,,,,,,,,,,,,,
516,,,,,朝阳村,,,,,,,,,,,,,,,,,,,
517,,,,,塔里村,,,,,,,,,,,,,,,,,,,
518,,,象洞镇,11000,光彩村,,,,,,,,,,,,,,,,,,,
519,,,,,洋贝村,,,,,,,,,,,,,,,,,,,
520,,,,,东寨村,,,,,,,,,,,,,,,,,,,
521,,,,,官坑村,,,,,,,,,,,,,,,,,,,
522,,,,,沾洋村,,,,,,,,,,,,,,,,,,,
523,,,,,联坊村,,,,,,,,,,,,,,,,,,,
524,,,,,富岭村,,,,,,,,,,,,,,,,,,,
525,,,,,新岗村,,,,,,,,,,,,,,,,,,,
526,,,,,中段村,,,,,,,,,,,,,,,,,,,
527,,,,,芹礤村,,,,,,,,,,,,,,,,,,,
528,,,,,太山村,,,,,,,,,,,,,,,,,,,
529,,,中赤镇,10826,中赤村,,,,,,,,,,,,,,,,,,,
530,,,,,上赤村,,,,,,,,,,,,,,,,,,,
531,,,,,壮畲村,,,,,,,,,,,,,,,,,,,
532,,,,,万营村,,,,,,,,,,,,,,,,,,,
533,,,,,下营村,,,,,,,,,,,,,,,,,,,
534,,,,,平沿村,,,,,,,,,,,,,,,,,,,
535,,,,,育平村,留守老人较多,,,,,多处塌方，19号下午16点43分恢复通小车,,,,,,,,,福建义工防汛联动群,,,康子,2024年6月19号16点55
536,,,湘店镇,12176,尧山村,,,,,,,,,,,,,,,,,,,
537,,,,,三和村,,,,,,,,,,,,,,,,,,,
538,,,,,七里村,,,,,,,,,,,,,,,,,,,
539,,,,,店下村,,,,,,,,,,,,,,,,,,,
540,,,,,湘洋村,,,,,,,,,,,,,,,,,,,
541,,,,,湘湖村,,,,,,,,,,,,,,,,,,,
542,,,大禾镇,17900,大禾村,,,,,,,,,,,,,,,,,,,
543,,,,,大礤村,,,,,,,,,,,,,,,,,,,
544,,,,,湘村村,,,,,,,,,,,,,,,,,,,
545,,,,,源头村,,,,,,,,,,,,,,,,,,,
546,,,,,龙坑村,,,,,,,,,,,,,,,,,,,
547,,,,,邓坑村,,,,,,,,,,,,,,,,,,,
548,,,,,上梧村,,,,,,,,,,,,,,,,,,,
549,,,,,上湖村,,,,,,,,,,,,,,,,,,,
550,,,,,贤坑村,,,,,,,,,,,,,,,,,,,
551,,,,,帽布村,,,,,,,,,,,,,,,,,,,
552,,,,,坪坑村,,,,,,,,,,,,,,,,,,,
553,,,,,山头村,,,,,,,,,,,,,,,,,,,
554,,,,,大沛村,,,,,,,,,,,,,,,,,,,
555,,,民主乡,7100,民主村,,,,,,,,,,,,,,,,,,,
556,,,,,岭下村,,,,,,,,,,,,,,,,,,,
557,,,,,高书村,,,,,,,,,,,,,,,,,,,
558,,,,,高横村,,,,,,,,,,,,,,,,,,,
559,,,,,林荣村,,,,,,,,,,,,,,,,,,,
560,,,,,坪畲村,,,,,,,,,,,,,,,,,,,
561,,,下坝乡,7300,下坝村,,,,,,,,,,,,,,,,,,,
562,,,,,贵扬村,,,,,,,,,,,,,,,,,,,
563,,,,,福兴村,,,,,,,,,,,,,,,,,,,
564,,,,,露冕村,,,,,,,,,,,,,,,,,,,
565,,,,,大田村,,,,,,,,,,,,,,,,,,,
566,,,,,大成村,,,,,,,,,,,,,,,,,,,
567,,,,,石营村,,,,,,,,,,,,,,,,,,,
568,,,,,园丰村,,,,,,,,,,,,,,,,,,,
569,,,,,美溪村,,,,,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,,,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,,,,
633,,,,,,,,,,,,,,,,,,,,,,,,
